date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-04-11,81820.62520832999,71629.25720833,77224.80237501,79488.49194477919,80960.96032881008,76933.2433337982,72715.81122037402,85327.67818545314,74895.08640422537
2025-04-12,76782.812875,71629.25720833,74816.18320834,79499.12757419194,75281.07432058848,70651.32573622942,72617.66377056387,78815.49775121045,68579.7210017757
2025-04-13,71367.54025001,71629.25720833,70248.53175001,79509.76320360469,69649.35541660117,65074.986211908596,72608.50347463615,72359.71655893828,62433.9103975765
2025-04-14,81542.64145833,71629.25720833,74499.63329166,79520.39883301743,79175.60463701622,75585.5012452018,72682.58454365814,83886.08450606253,72682.61120923124
2025-04-15,82728.32729167,71629.25720833,71629.25720833,79531.03446243018,80680.0302692707,77149.06607463075,72790.17072940175,85851.37323910951,74142.07320918674
2025-04-16,82996.49720834,71629.25720833,66416.57704167,79541.67009184293,80908.84581827425,77024.04574871984,72860.71888645274,86253.79598222359,74291.55592998209
2025-04-17,82045.46699998999,71629.25720833,75394.72508333,79552.30572125567,79049.17642255365,77436.4201017317,72843.70727614651,83941.71851385882,72657.48680646675
2025-04-18,72127.57079167,71629.25720833,77224.80237501,79562.94135066842,72576.34056705884,76862.17584494058,72752.91721125641,76451.61735321634,66333.98686300777
2025-04-19,72909.58320833,71629.25720833,74816.18320834,79573.57698008117,72809.75170499014,70580.29211920005,72659.12720265763,76829.02059923812,65866.31138313342
2025-04-20,67330.41883333,71629.25720833,70248.53175001,79584.21260949392,67147.62322181798,65003.9864667075,72625.76177568853,68959.73094571155,59578.31252207354
2025-04-21,70756.38874999,71629.25720833,74499.63329166,79594.84823890666,70787.11017437135,75514.5353718291,72667.13204775302,73511.07182449865,64097.049258436906
2025-04-22,78784.94529167001,71629.25720833,71629.25720833,79605.48386831941,78206.84451607305,77078.13407308645,72753.13204204345,82112.56288587372,71406.01196745266
2025-04-23,79950.69079167,71629.25720833,66416.57704167,79616.11949773216,80125.25264866537,76953.14761900387,72826.53749111883,83058.63115552388,72945.55863797407
2025-04-24,81923.76079166,71629.25720833,75394.72508333,79626.7551271449,79984.94447156608,77365.55584384403,72836.03491572302,83312.94804153653,72836.18318967994
2025-04-25,83027.22308334,71629.25720833,77224.80237501,79637.39075655765,79400.2430131814,76791.34545888125,72776.2618095835,82496.97660460536,72229.93368595163
